epoch,accuracy,loss,val_accuracy,val_loss
1, 0.7379, 0.9870, 0.8306, 0.5664
2, 0.8411, 0.5291, 0.8662, 0.4403
3, 0.8819, 0.3857, 0.9111, 0.2861
4, 0.9186, 0.2617, 0.9421, 0.1840
5, 0.9504, 0.1606, 0.9661, 0.1130
6, 0.9683, 0.1056, 0.9750, 0.0853
7, 0.9770, 0.0777, 0.9803, 0.0682
8, 0.9831, 0.0588, 0.9847, 0.0540
9, 0.9868, 0.0465, 0.9862, 0.0485
10, 0.9894, 0.0376, 0.9889, 0.0403
11, 0.9912, 0.0318, 0.9899, 0.0365
12, 0.9925, 0.0271, 0.9910, 0.0331
13, 0.9936, 0.0232, 0.9911, 0.0320
14, 0.9943, 0.0204, 0.9920, 0.0296
15, 0.9950, 0.0179, 0.9921, 0.0291
16, 0.9957, 0.0157, 0.9924, 0.0282
17, 0.9962, 0.0139, 0.9930, 0.0265
18, 0.9965, 0.0126, 0.9932, 0.0258
19, 0.9969, 0.0111, 0.9931, 0.0265
20, 0.9972, 0.0103, 0.9934, 0.0253
21, 0.9975, 0.0091, 0.9936, 0.0250
22, 0.9977, 0.0083, 0.9938, 0.0238
23, 0.9980, 0.0074, 0.9936, 0.0245
24, 0.9982, 0.0068, 0.9940, 0.0237
25, 0.9983, 0.0063, 0.9938, 0.0246
26, 0.9985, 0.0057, 0.9941, 0.0238
27, 0.9986, 0.0055, 0.9941, 0.0243
28, 0.9987, 0.0050, 0.9942, 0.0244
29, 0.9989, 0.0045, 0.9945, 0.0234
30, 0.9990, 0.0040, 0.9943, 0.0245
31, 0.9990, 0.0038, 0.9942, 0.0248
32, 0.9991, 0.0035, 0.9945, 0.0240
33, 0.9992, 0.0033, 0.9943, 0.0253
34, 0.9993, 0.0030, 0.9946, 0.0238
35, 0.9993, 0.0028, 0.9941, 0.0260
36, 0.9994, 0.0027, 0.9947, 0.0243
37, 0.9995, 0.0023, 0.9947, 0.0247
38, 0.9995, 0.0024, 0.9947, 0.0246
39, 0.9995, 0.0020, 0.9946, 0.0252
40, 0.9996, 0.0021, 0.9946, 0.0253
41, 0.9996, 0.0019, 0.9947, 0.0251
42, 0.9996, 0.0017, 0.9946, 0.0255
43, 0.9996, 0.0018, 0.9947, 0.0253
44, 0.9997, 0.0015, 0.9947, 0.0255
45, 0.9997, 0.0014, 0.9947, 0.0255
46, 0.9997, 0.0016, 0.9946, 0.0267
47, 0.9997, 0.0014, 0.9948, 0.0256
48, 0.9998, 0.0013, 0.9946, 0.0266
49, 0.9998, 0.0012, 0.9946, 0.0274
50, 0.9998, 0.0014, 0.9947, 0.0264
51, 0.9998, 0.0012, 0.9948, 0.0263
52, 0.9998, 0.0010, 0.9948, 0.0261
53, 0.9998, 0.0011, 0.9948, 0.0261
54, 0.9998, 0.0010, 0.9947, 0.0265
55, 0.9999, 8.6948e-04, 0.9949, 0.0263
56, 0.9999, 8.3565e-04, 0.9949, 0.0266
57, 0.9999, 8.6059e-04, 0.9950, 0.0268
58, 0.9999, 6.9774e-04, 0.9950, 0.0267
59, 0.9999, 7.4096e-04, 0.9948, 0.0273
60, 0.9999, 6.1184e-04, 0.9948, 0.0274
61, 0.9999, 6.1951e-04, 0.9950, 0.0271
62, 0.9999, 6.2441e-04, 0.9949, 0.0276
63, 0.9999, 7.1668e-04, 0.9950, 0.0271
64, 0.9999, 4.9355e-04, 0.9950, 0.0279
65, 0.9999, 4.5976e-04, 0.9950, 0.0271
66, 0.9999, 5.4082e-04, 0.9950, 0.0278
67, 0.9999, 4.7479e-04, 0.9949, 0.0278
68, 0.9999, 4.5665e-04, 0.9949, 0.0278
69, 0.9999, 4.7622e-04, 0.9949, 0.0284
70, 0.9999, 4.3818e-04, 0.9949, 0.0278
71, 0.9999, 4.2961e-04, 0.9950, 0.0280
72, 0.9999, 3.7408e-04, 0.9950, 0.0279
73, 0.9999, 4.1315e-04, 0.9949, 0.0287
74, 0.9999, 4.5388e-04, 0.9949, 0.0288
75, 0.9999, 4.5047e-04, 0.9949, 0.0282
76, 0.9999, 4.3092e-04, 0.9949, 0.0284
77, 0.9999, 4.9286e-04, 0.9949, 0.0286
78, 0.9999, 4.0882e-04, 0.9949, 0.0286
79, 0.9999, 3.7739e-04, 0.9949, 0.0286
80, 1.0000, 3.5071e-04, 0.9949, 0.0290
81, 1.0000, 3.3817e-04, 0.9950, 0.0289
82, 1.0000, 3.5631e-04, 0.9949, 0.0288
83, 0.9999, 3.9218e-04, 0.9950, 0.0289
84, 1.0000, 2.8894e-04, 0.9949, 0.0289
85, 1.0000, 3.7318e-04, 0.9949, 0.0292
86, 1.0000, 3.0311e-04, 0.9949, 0.0291
87, 1.0000, 3.4281e-04, 0.9950, 0.0292
88, 0.9999, 3.2169e-04, 0.9949, 0.0293
89, 0.9999, 3.1580e-04, 0.9949, 0.0295
90, 1.0000, 2.5719e-04, 0.9949, 0.0294
91, 1.0000, 2.7469e-04, 0.9949, 0.0297
92, 1.0000, 2.9856e-04, 0.9949, 0.0296
93, 1.0000, 2.8675e-04, 0.9950, 0.0298
94, 1.0000, 2.6661e-04, 0.9949, 0.0297
95, 1.0000, 2.5782e-04, 0.9949, 0.0301
96, 1.0000, 2.8351e-04, 0.9949, 0.0300
97, 0.9999, 3.9070e-04, 0.9949, 0.0298
98, 1.0000, 3.1444e-04, 0.9949, 0.0300
99, 1.0000, 2.7454e-04, 0.9949, 0.0301
100, 1.0000, 3.2185e-04, 0.9949, 0.0303